PLAYER.NAME	YEAR	PCT.FAIRWAYS.HIT	AVG.DRIVE.DISTANCE	PCT.GREENS.IN.REGULATION	GREENS.HIT.RELATIVE.TO.PAR	EVENTS	MONEY	PCT.ONE.PUTTS	PCT.SAND.SAVES	TOTAL.OU.PAR	ADJ_MONEY_2019
Chris Anderson	2003	68.13	279.7	63.8	-0.24	31	342028	38.6	50.99	51	475335.872657758
Chris Anderson	2005	63.7	278.1	61.02	-0.27	25	270347	40.86	45.95	53	353912.774688713
Chris Baker	2020	69.49	289.5	70.07	-0.24	17	270300	34.58	50.77	21	265488.785480831
Chris Baryla	2010	NA	NA	NA	NA	7	24254	NA	NA	NA	28436.4071708044
Chris Baryla	2011	NA	NA	NA	NA	20	68000	NA	NA	NA	77286.2485042253
Chris Borgen	1997	NA	NA	NA	NA	2	2576	NA	NA	NA	4102.83566815492
Chris Cookson	1992	NA	NA	NA	NA	1	576	NA	NA	NA	1049.47384725027
Chris Couch	1999	62.11	295.8	64.27	-0.24	30	121752	34.95	33.08	81	186863.585736155
Chris Couch	2004	56.21	302.1	60.81	-0.29	24	100283	35.76	34.21	77	135735.071290479
Chris Couch	2006	60.98	299.7	66.15	-0.27	27	1356731	35.33	33.91	71	1720598.61554256
Chris Couch	2007	56.59	299.8	64.11	-0.25	30	355386	38.45	40.8	59	438198.165817495
Chris Couch	2009	NA	NA	NA	NA	8	56665	NA	NA	NA	67526.0095713871
Chris Couch	2010	65.87	292.4	66.5	-0.3	23	888146	39.14	47.79	35	1041299.6323543
Chris Couch	2011	64.96	296.8	64.99	-0.31	21	922496	41.25	47.01	49	1048474.33970814
Chris Couch	2012	65.49	293.8	63.65	-0.28	21	335848	40.68	37.89	37	373973.462882837
Chris Couch	2018	NA	NA	NA	NA	5	13000	NA	NA	NA	13235.5873097838
Chris Couch	2019	NA	NA	NA	NA	4	27166	NA	NA	NA	27166
Chris Couch	2020	NA	NA	NA	NA	1	13700	NA	NA	NA	13456.1463599237
Chris DiMarco	1994	63.99	265.4	66.6	-0.23	29	216839	35.92	54.94	58	374002.351645022
Chris DiMarco	1995	59.71	262	62.75	-0.23	33	74698	36.93	43.75	66	125322.745555069
Chris DiMarco	1996	NA	NA	NA	NA	5	18678	NA	NA	NA	30444.177421103
Chris DiMarco	1998	68.26	271.8	66.38	-0.24	31	260334	38.19	49.11	52	408300.094538112
Chris DiMarco	1999	63.97	275	66.78	-0.23	31	672503	36.59	53.59	75	1032149.96056181
Chris DiMarco	2000	68.25	277.6	69.25	-0.29	33	1842221	37.43	53.65	43	2735060.75371129
Chris DiMarco	2001	65.95	278.8	70.59	-0.31	29	2595201	37.7	59.6	44	3747076.71342668
Chris DiMarco	2002	68.46	279.7	68.08	-0.3	29	2606430	39.41	54.17	33	3704534.59637248
Chris DiMarco	2003	67.56	281	67.08	-0.32	27	2350630	40.44	54.73	48	3266804.94680408
Chris DiMarco	2004	68.56	277.3	67.06	-0.27	27	2971842	39.34	50.6	54	4022448.32857055
Chris DiMarco	2005	61.55	281	64.15	-0.28	24	3562548	40.89	52.29	40	4663751.57720162
Chris DiMarco	2006	64.34	279.3	66.45	-0.26	26	1537926	38.89	51.22	35	1950389.09437973
Chris DiMarco	2007	59.05	282.4	60.53	-0.24	24	950414	39.11	44.6	66	1171879.79145849
Chris DiMarco	2008	63.12	277.4	63.35	-0.23	29	590744	38.51	48.7	78	701469.258143001
Chris DiMarco	2009	66.8	279.5	64.58	-0.25	29	584075	38.37	55.48	48	696024.95438821
Chris DiMarco	2010	70.13	279	67.39	-0.25	25	409205	36.93	50.37	45	479769.1100985
Chris DiMarco	2011	66.67	277.9	65.11	-0.25	31	761932	37.57	50.38	50	865983.32199002
Chris DiMarco	2012	69.24	273	60.55	-0.25	29	468298	39.71	60.13	47	521459.186063655
Chris DiMarco	2013	NA	NA	NA	NA	11	175555	NA	NA	NA	192661.829126252
Chris DiMarco	2014	NA	NA	NA	NA	7	6370	NA	NA	NA	6879.12526039889
Chris Kirk	2011	56.47	295.7	66.67	-0.29	28	1877627	39.4	53.42	46	2134040.39588593
Chris Kirk	2012	59.7	291.8	66.6	-0.27	27	1197562	38.39	47.26	51	1333509.23083328
Chris Kirk	2013	59.65	289	65.92	-0.31	24	1728616	43.51	49.23	49	1897059.72724733
Chris Kirk	2014	62.78	291	63.46	-0.28	28	4854777	42.04	57.89	35	5242797.34604451
Chris Kirk	2015	61.97	285.8	64.54	-0.29	21	2369326	40.87	60.47	35	2555663.78952213
Chris Kirk	2016	62.02	285.9	64.05	-0.25	28	1762335	40.92	57.42	51	1877252.3323314
Chris Kirk	2017	63.93	287	66.73	-0.28	28	1216047	38.35	51.26	31	1268325.56720886
Chris Kirk	2018	64.64	289.8	68.24	-0.27	29	1824111	38.99	54.01	38	1857167.72332593
Chris Kirk	2019	NA	NA	NA	NA	17	261401	NA	NA	NA	261401
Chris Kirk	2020	NA	NA	NA	NA	11	162468	NA	NA	NA	159576.145022196
Chris Kite	1994	NA	NA	NA	NA	19	13983	NA	NA	NA	24117.7780890538
Chris Patton	1999	NA	NA	NA	NA	1	4950	NA	NA	NA	7597.20373705538
Chris Perry	1991	64.85	257.6	66.13	NA	33	116105	NA	44.22	1	217950.95903139
Chris Perry	1992	59.17	257.5	63.42	-0.25	29	53943	37.39	44.29	70	98284.3189969117
Chris Perry	1993	NA	NA	NA	NA	9	25333	NA	NA	NA	44833.4768024228
Chris Perry	1994	NA	NA	NA	NA	2	14840	NA	NA	NA	25595.9255411255
Chris Perry	1995	67.55	255.6	63.73	-0.27	30	113632	37.16	45.93	61	190643.313380728
Chris Perry	1996	67.51	260	68.14	-0.24	20	184171	35.62	37.35	45	300189.238666985
Chris Perry	1997	69.01	263	67.62	-0.25	32	460984	35.85	53.05	64	734216.458714567
Chris Perry	1998	70.38	270.6	66.67	-0.28	31	730171	38.42	46.56	74	1145178.45663259
Chris Perry	1999	70.5	277.4	69.21	-0.29	31	2145707	37.87	35.43	75	3293206.71495473
Chris Perry	2000	73.92	274.8	71.2	-0.28	31	1563115	35.61	32.86	66	2320684.91784504
Chris Perry	2001	69.59	278.4	68.4	-0.27	26	568391	35.04	39.45	43	820670.414438536
Chris Riley	1999	68.6	271.6	60.05	-0.27	28	367805	43.19	53.33	35	564502.93343589
Chris Riley	2000	68.68	272.9	64.72	-0.26	28	660707	41.67	62.69	24	980921.282192702
Chris Riley	2001	71.22	276.3	65.11	-0.28	30	1198225	40.5	52.45	40	1730055.20379565
Chris Riley	2002	70.51	272.7	65.1	-0.31	28	2032979	41.5	53.5	38	2889485.24963215
Chris Riley	2003	65.98	279.3	61.54	-0.28	29	2178133	43.52	50.38	34	3027076.00056036
Chris Riley	2004	61.84	277.3	62.46	-0.25	23	1292732	40.02	51.63	38	1749738.94059296
Chris Riley	2005	67.11	278	59.38	-0.21	25	268735	39.24	54.64	42	351802.496443354
Chris Riley	2006	70.55	284.5	62.47	-0.27	27	495314	41.06	61.9	45	628154.426086561
Chris Riley	2007	71.39	280.6	62.12	-0.26	17	403199	40.96	63.53	26	497152.567235198
Chris Riley	2008	66.5	279.1	61.89	-0.24	17	388850	35.29	57.35	19	461733.544528435
Chris Riley	2009	71.49	278.5	64.79	-0.28	22	630417	38.02	60	32	751249.349262598
Chris Riley	2010	68.7	278.3	67.33	-0.24	24	1001582	35.77	56.86	28	1174296.75793472
Chris Riley	2011	70.19	279.3	64.81	-0.21	25	397204	35.38	58.18	30	451447.162512828
Chris Riley	2012	NA	NA	NA	NA	12	167581	NA	NA	NA	186604.79408354
Chris Riley	2013	NA	NA	NA	NA	3	27521	NA	NA	NA	30202.7638027033
Chris Riley	2015	NA	NA	NA	NA	2	14216	NA	NA	NA	15334.0301975526
Chris Smith	1993	NA	NA	NA	NA	3	24000	NA	NA	NA	42474.379002019
Chris Smith	1994	NA	NA	NA	NA	2	3075	NA	NA	NA	5303.7379406308
Chris Smith	1996	55.91	279.5	64.86	-0.18	28	41112	32.57	48.87	55	67010.4412751036
Chris Smith	1997	NA	NA	NA	NA	6	120768	NA	NA	NA	192349.090827536
Chris Smith	1998	62.77	281.3	66.85	-0.22	31	184933	35.87	47.59	60	290043.411091969
Chris Smith	1999	62.01	287.2	63.75	-0.22	28	116794	36.32	49.32	55	179254.10369003
Chris Smith	2001	68.42	293.2	70.58	-0.28	30	932810	36.88	36.3	44	1346836.19074266
Chris Smith	2002	68.76	292.2	71.59	-0.26	30	1361094	33	29.68	75	1934531.06813343
Chris Smith	2003	65.16	293.2	68.96	-0.25	30	479523	33.76	33.13	89	666420.537688335
Chris Smith	2004	59.49	304	70.37	-0.25	33	692785	33.92	33.16	98	937698.526808877
Chris Smith	2005	60.22	300.8	69.24	-0.25	32	454375	33.87	41.67	52	594824.862118626
Chris Smith	2006	66.02	299.2	69.32	-0.23	21	183411	34.58	36.36	44	232600.797560663
Chris Smith	2007	NA	NA	NA	NA	8	50381	NA	NA	NA	62120.7976455212
Chris Smith	2008	NA	NA	NA	NA	5	22775	NA	NA	NA	27043.7996055937
Chris Smith	2009	NA	NA	NA	NA	3	71425	NA	NA	NA	85115.0663308272
Chris Smith	2010	NA	NA	NA	NA	10	23400	NA	NA	NA	27435.1417414374
Chris Smith	2014	NA	NA	NA	NA	7	33620	NA	NA	NA	36307.0943884789
Chris Smith	2015	NA	NA	NA	NA	9	212910	NA	NA	NA	229654.499814359
Chris Smith	2017	NA	NA	NA	NA	2	6755	NA	NA	NA	7045.40137551909
Chris Stroud	2007	66.56	290	66.15	-0.23	24	673106	35.35	43.16	41	829953.387586316
Chris Stroud	2008	66.38	287.4	67.63	-0.22	29	482405	31.82	40.74	54	572823.892370425
Chris Stroud	2009	63.73	290.7	68.72	-0.27	28	735019	35.29	46.4	52	875900.468175265
Chris Stroud	2010	62.98	287.2	69.31	-0.23	27	942082	33.02	50.38	44	1104536.46162636
Chris Stroud	2011	60.03	291.2	67	-0.25	28	1096499	36.24	49.17	40	1246239.62056815
Chris Stroud	2012	62.31	286.6	63.37	-0.25	28	903570	39.41	50.43	41	1006143.26081157
Chris Stroud	2013	62.4	277	64.33	-0.27	26	1602122	41.86	51.63	49	1758239.61153718
Chris Stroud	2014	63.93	285.8	65.21	-0.29	25	1826399	41.79	52.14	40	1972374.80321307
Chris Stroud	2015	64.22	283	65.67	-0.27	28	746814	39.68	54.84	31	805547.863530886
